Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
M;103506;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Sergeant;1997
M;63345;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2012
M;64871.95;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2011
F;86586.03;Department of Police;PSB 2nd District Educational Facilities Officers;Fulltime-Regular;Police Officer III;1996
F;47693;Sheriff Office;Administration;Fulltime-Regular;Deputy Sheriff Candidate;2015
M;74713;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2002
M;113418.6;Fire and Rescue Services;Station 10;Fulltime-Regular;Fire/Rescue Lieutenant;1986
M;97019.07;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Master Firefighter/Rescuer;1993
M;54403.08;Department of Police;FSB Animal Services Division;Fulltime-Regular;Client Assistance Specialist;2013
F;50671.27;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
F;33603;Offices of the County Executive;Chief Administrative Officer Office;Parttime-Regular;Office Services Coordinator;1994
M;78096;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2004
F;39730.38;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician II;2009
M;83497.98;Department of General Services;Facilities Major Programs;Fulltime-Regular;Energy Management Systems Technician;1995
F;84974;Fire and Rescue Services;EMS Billing;Fulltime-Regular;Administrative Specialist II;1996
M;106456;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;1998
M;69222.18;Department of Police;ISB Criminal Investigations Division Financial Crimes Section;Fulltime-Regular;Office Services Coordinator;1996
F;55253.33;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1998
F;107128.71;Department of Police;ISB Family Crimes Division Child Abuse Sexual Assault Section;Fulltime-Regular;Police Sergeant;1992
M;53284;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2004
M;59906.23;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2012
M;89620;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2000
F;77393.5;Department of Police;MSB Communications Division;Fulltime-Regular;Program Specialist II;2003
F;37838.53;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2007
M;110550;Department of Technology Services;ESOD Core Services;Fulltime-Regular;Senior Information Technology Specialist;2016
M;43525.71;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Urban District Public Service Aide;2013
M;123811.12;Department of Finance;Payroll;Fulltime-Regular;Manager III;2013
F;60201.44;Department of Health and Human Services;Income Supports;Fulltime-Regular;Principal Administrative Aide;1986
F;33080.33;Department of Public Libraries;Chevy Chase Library;Parttime-Regular;Library Associate II;1999
F;98992.5;Department of Police;ISB Criminal Investigations Division Crime Laboratory Section;Fulltime-Regular;Forensic Scientist;2016
M;96763.35;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1994
M;54538;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2012
M;78262.5;County Council;Council Central Staff;Parttime-Regular;Manager II;2007
F;88136.06;Department of Transportation;Traffic Engineering and Operations Development Review;Fulltime-Regular;Senior Planning Specialist;2014
M;95187.98;Fire and Rescue Services;Station 11;Fulltime-Regular;Master Firefighter/Rescuer;1979
F;57235.41;Department of Police;MSB Communications Division;Fulltime-Regular;Senior Public Safety Emergency Communications Specialist;2010
M;91969.07;Fire and Rescue Services;Station 16;Fulltime-Regular;Master Firefighter/Rescuer;1992
M;73473.59;Department of Environmental Protection;Field Services;Fulltime-Regular;Environmental Health Specialist III;2004
F;39257.31;Department of Transportation;Transportation Management;Fulltime-Regular;Traffic Management Technician II;2016
F;50450.27;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative I;2013
F;39163.74;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2007
M;43525.72;Department of Police;FSB Traffic Division Automated Traffic Enforcement Section;Fulltime-Regular;Traffic Enforcement Field Service Technician II;2013
M;99644.73;Department of Transportation;Parking Management Parking Operations;Fulltime-Regular;Program Manager II;1988
M;62903;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
F;60181.89;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2004
F;40355.64;Department of Health and Human Services;Abused Persons Program;Fulltime-Regular;Principal Administrative Aide;2014
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1991
M;56733;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
F;64189.2;Department of Permitting Services;Central Services Unit;Fulltime-Regular;Administrative Specialist II;2015
F;93396;Department of Housing and Community Affairs;Management Services;Fulltime-Regular;Program Manager I;2000
M;78096;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
M;50697.93;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2005
M;107657;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Senior Permitting Services Specialist;1997
F;38085.01;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2002
F;42662.89;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2015
M;79452.86;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Senior Permitting Services Specialist;2008
M;100670.07;Fire and Rescue Services;Training;Fulltime-Regular;Master Firefighter/Rescuer;1995
M;16610.72;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2015
F;125809.08;Department of Health and Human Services;TB and Refugee Health;Fulltime-Regular;Manager III;2003
F;37743.28;Department of Health and Human Services;Medication Assisted Treatment - Clinical and Vocational Services;Parttime-Regular;Community Health Nurse II;2016
M;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;29779.06;Department of Liquor Control;Walnut Hill;Parttime-Regular;Liquor Store Clerk I;2004
M;107128.71;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Sergeant;1994
M;58448;Department of Health and Human Services;Facilities and Logistical Services;Fulltime-Regular;Principal Administrative Aide;2001
M;82001;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Master Police Officer;2004
M;107657;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Information Technology Specialist III;2001
M;60201.44;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Warehouse Equipment Operator;1989
F;81820.9;Department of Environmental Protection;Stormwater Facility Inspection and Maintenance;Fulltime-Regular;Planning Specialist III;2013
M;25903.5;Department of Housing and Community Affairs;Housing Administration;Parttime-Regular;Office Clerk;2013
M;54538;Fire and Rescue Services;Station 24;Fulltime-Regular;Firefighter/Rescuer III;2012
F;63067.93;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1995
M;55023.05;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2002
M;94279;Fire and Rescue Services;Fourth Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
M;102664;Department of Transportation;Parking Management Parking Operations;Fulltime-Regular;Program Manager II;2001
M;78703.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;1994
M;43525.72;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2012
M;92756.7;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;1994
M;70370.55;Department of Public Libraries;White Oak Library;Fulltime-Regular;Librarian II;2008
F;57807.08;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1988
M;47693;Sheriff Office;Administration;Fulltime-Regular;Deputy Sheriff Candidate;2016
M;69475;Sheriff Office;Civil Process;Fulltime-Regular;Deputy Sheriff III;2006
F;60201.44;Sheriff Office;Child Support;Fulltime-Regular;Principal Administrative Aide;1984
F;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
M;121167.06;Fire and Rescue Services;Station 23;Fulltime-Regular;Fire/Rescue Captain;1986
M;106754.6;Fire and Rescue Services;Fire and Explosive Investigations;Fulltime-Regular;Fire/Rescue Lieutenant;1987
F;83497.98;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;1996
M;46987.33;Department of Liquor Control;Westwood;Fulltime-Regular;Liquor Store Clerk II;2005
M;156519.88;Office of Legislative Oversight;Legislative Oversight Staff;Fulltime-Regular;Manager II;1986
F;97912;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2003
M;58773;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2013
M;58990.28;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Services Assistant;2003
M;30045.75;Department of Public Libraries;Bethesda Library;Parttime-Regular;Librarian I;2014
M;41426.86;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver Helper/Warehouse Worker;2005
M;38484.16;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver Helper/Warehouse Worker;2008
F;26400;Department of Public Libraries;White Oak Library;Parttime-Regular;Librarian I;2014
F;57660.28;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2010
M;50888.16;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2012
M;92756.7;Department of Police;PSB 1st District Traffic Squad;Fulltime-Regular;Police Officer III;1993
M;112899;Department of General Services;Building Design and Construction;Fulltime-Regular;Senior Engineer;2002
M;118400;Department of Technology Services;EASD Geographic Information System;Fulltime-Regular;Senior Information Technology Specialist;2002
M;48259.56;Department of Health and Human Services;Income Supports;Fulltime-Regular;Principal Administrative Aide;2007
F;26258.75;Department of Public Libraries;Chevy Chase Library;Parttime-Regular;Library Desk Assistant;1997
F;23743.1;Department of Public Libraries;Olney Library;Parttime-Regular;Library Associate;2015
M;57931.58;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2014
F;94437.7;Department of Permitting Services;Land Development Right-of-Way Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;2014
M;35587.09;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2013
M;49104.52;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2013
F;97912;Department of Health and Human Services;Health Care and Group Residential Services;Fulltime-Regular;Community Health Nurse II;1999
M;71908;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;2001
M;89620;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1999
M;55139.67;Department of Public Libraries;Twinbrook Library;Fulltime-Regular;Library Assistant I;1999
M;40631.32;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2015
M;72185;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2003
F;100849.36;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Therapist II;1994
M;64141;Department of General Services;Fleet Management Services;Fulltime-Regular;Depot Supply Coordinator;2004
F;76015.03;Department of Health and Human Services;Urine Monitoring Program;Fulltime-Regular;Community Services Aide III;1989
F;60460.92;Department of Health and Human Services;Nurse Monitoring;Fulltime-Regular;Program Specialist II;2015
M;63493;Fire and Rescue Services;Station 24;Fulltime-Regular;Firefighter/Rescuer III;2008
M;91051.31;Department of Health and Human Services;Fiscal Team;Fulltime-Regular;Accountant/Auditor III;1999
F;71207.5;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Social Worker III;2008
M;103506;Department of Police;FSB Special Operations Division;Fulltime-Regular;Police Sergeant;1997
F;89620;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;1999
M;56990;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2014
M;102664;Department of Finance;General Accounting;Fulltime-Regular;Senior Financial Specialist;2011
F;100849.36;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;1994
M;91042.55;Office of Public Information;MC311;Fulltime-Regular;Program Specialist II;2012
M;92920;Fire and Rescue Services;Station 25;Fulltime-Regular;Master Firefighter/Rescuer;2004
F;76928.44;Department of Public Libraries;Bethesda Library;Fulltime-Regular;Library Assistant Supervisor;1993
M;55262.57;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2002
M;68028.09;Office of Human Resources;Communications and Strategic Planning Team;Fulltime-Regular;Administrative Specialist II;2014
F;72733.7;Department of Police;ISB Criminal Investigations Division Forensic Services Section;Fulltime-Regular;Latent Print Examiner;2010
F;56026.45;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
F;55122.12;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2004
M;70208.09;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2006
F;49831;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
F;71927.98;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2007
M;52693;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2013
F;95263.92;Department of Recreation;Youth Development Youth Services;Fulltime-Regular;Recreation Supervisor;1987
F;44945.53;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2003
F;50539.21;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2013
M;91751.37;Correction and Rehabilitation;DS MCCF Case Managers Unit 3;Fulltime-Regular;Correctional Specialist II;1992
F;58516.53;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2005
F;67206;Department of Finance;Tax Operations;Fulltime-Regular;Office Services Coordinator;1998
M;84022.63;Department of Transportation;Traffic Engineering Studies Section;Fulltime-Regular;Program Specialist II;1996
M;67384;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2005
F;58186.12;Department of Health and Human Services;Income Supports;Parttime-Regular;Program Manager II;2013
M;74713;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2002
F;73040.62;Ethics Commission;Administrative Support;Fulltime-Regular;Program Specialist II;2014
M;97392.47;Department of Police;HQ Office of the Chief;Fulltime-Regular;Master Police Officer;1994
F;48222.51;Department of Health and Human Services;Community Action Agency;Fulltime-Regular;Community Services Aide III;2015
M;70422;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Autobody Repairer;1997
F;18247.04;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Aide;2006
F;95180.83;Department of Permitting Services;Land Development Right-of-Way Inspection;Fulltime-Regular;Program Manager II;1988
M;29779.07;Department of Liquor Control;Potomac;Parttime-Regular;Liquor Store Clerk I;2010
M;73819.32;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;1999
M;69222.18;Department of Police;MSB Information Mgmt and Tech Division Telephone Reporting Section;Fulltime-Regular;Public Safety Telephone Reporting Aide I;1982
M;81090.27;Department of Health and Human Services;School Based Health Centers;Fulltime-Regular;Nurse Manager;2013
F;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
M;58455;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2013
F;58448;Department of Health and Human Services;Income Supports;Fulltime-Regular;Principal Administrative Aide;1999
M;96275.26;Department of Police;MSB Communications Division;Fulltime-Regular;Program Manager II;1993
F;68028.09;Department of Recreation;Holiday Park Senior Center;Fulltime-Regular;Recreation Specialist;2006
M;135132.17;Department of Technology Services;ERP Financials;Fulltime-Regular;Manager III;2001
M;83658;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2002
F;70045.13;Department of Public Libraries;Gaithersburg Library;Fulltime-Regular;Librarian I;2000
M;106448.44;Sheriff Office;Administration;Fulltime-Regular;Deputy Sheriff Lieutenant;1994
F;52149.28;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2012
M;63887;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2006
M;54817.45;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
M;82687.32;Department of Public Libraries;Gaithersburg Library;Fulltime-Regular;Library Assistant Supervisor;1982
F;43761.61;Department of Public Libraries;Twinbrook Library;Parttime-Regular;Library Associate II;1987
F;52563.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2013
M;56123.18;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2014
F;71872.19;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2002
M;66065.23;Department of General Services;Facilities Maintenance;Fulltime-Regular;Public Service Craftsworker;1988
F;46469;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;2000
M;64141;Department of General Services;Facilities Maintenance;Fulltime-Regular;Public Service Craftsworker;2005
F;87053.98;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Communications Supervisor;2000
F;58455;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2013
M;77343;Department of General Services;Facilities Maintenance;Fulltime-Regular;Electrician II;2001
F;115156.98;Office of Management and Budget;Operating Budget Management;Fulltime-Regular;Senior Management and Budget Specialist;1988
M;80626.58;Correction and Rehabilitation;PTS Alternative Community Services;Fulltime-Regular;Correctional Specialist II;2000
M;118400;Department of Transportation;Transit Services Information Technology;Fulltime-Regular;Senior Information Technology Specialist;2002
F;76015.03;Department of Transportation;Transit Fare Media;Fulltime-Regular;Program Specialist I;1990
F;92931;Department of Public Libraries;Public Service Administration;Fulltime-Regular;Program Specialist II;2008
F;37903.5;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative I;2015
M;58720;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2010
M;65105;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2006
M;45049.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
F;141676.07;Fire and Rescue Services;Fourth Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1988
M;88859;Fire and Rescue Services;Station 1;Fulltime-Regular;Master Firefighter/Rescuer;2001
M;149529.08;Fire and Rescue Services;Duty Operations Chief Office;Fulltime-Regular;Fire/Rescue Assistant Chief;1988
M;92756.7;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;1990
F;75370.94;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2001
M;64983.31;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator III;2001
F;62620;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2013
F;73941.03;Department of Health and Human Services;School Health Services;Parttime-Regular;Community Health Nurse II;2008
M;62836.91;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2000
M;38020.38;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2015
F;68971.62;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2012
F;21030.74;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2004
M;49364;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff III;2015
F;69189.59;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2007
M;110925.31;Department of Technology Services;ERP Access Control;Fulltime-Regular;Senior Information Technology Specialist;2015
M;118400;Department of Technology Services;ESOD Server Support;Fulltime-Regular;Senior Information Technology Specialist;2012
M;50910;Fire and Rescue Services;Station 12;Fulltime-Regular;Firefighter/Rescuer III;2014
F;44942.21;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2003
F;54875.99;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;2014
M;45049.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2011
M;49831;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
F;138433.32;Department of Public Libraries;Director;Fulltime-Regular;Manager II;1974
M;54817.45;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
M;43525.71;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
F;100849.36;Department of Health and Human Services;24 Hours Crisis Center;Fulltime-Regular;Therapist II;1990
F;60201.44;Department of Environmental Protection;Solid Waste Services Operations;Fulltime-Regular;Refuse Disposal Cashier;1987
F;67696;Department of Technology Services;ERP Payroll, Compensation & Labor Distribution;Parttime-Regular;Manager III;2001
M;74424;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff III;2004
M;36707.05;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Supply Technician III;2009
M;71175.95;Office of Consumer Protection;Investigations;Fulltime-Regular;Investigator III;2007
F;77029;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff III;2003
M;80829;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2003
M;90205;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
M;19378.39;Department of Health and Human Services;24 Hours Crisis Center;Parttime-Regular;Principal Administrative Aide;2014
M;52473.62;Department of Permitting Services;Central Services Unit;Fulltime-Regular;Principal Administrative Aide;2005
M;70768.45;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Work Force Leader II;2005
M;149164;Department of Technology Services;ESOD Server Support;Fulltime-Regular;Enterprise Technology Expert;2004
M;79923.05;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2000
F;91751.37;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist III;1994
M;80829;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2003
F;82556;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2002
M;77328;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2001
F;110500;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Senior Information Technology Specialist;2016
M;77000;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Information Technology Technician III;2016
M;45852;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2015
M;44851.63;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Principal Administrative Aide;2007
M;48870.8;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Services Assistant;2007
F;62576.07;Department of Health and Human Services;Autism Waiver;Fulltime-Regular;Program Specialist II;2012
F;73801;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide III;2001
M;93573.18;Department of Public Libraries;Collection Development;Fulltime-Regular;Librarian II;1997
M;120768;Department of Technology Services;ETSD Network Services;Fulltime-Regular;Senior Information Technology Specialist;1988
M;85185;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2005
M;95263.92;County Attorney Office;Administration;Fulltime-Regular;Administrative Specialist III;1987
F;156525;County Attorney Office;Insurance Defense Litigation;Fulltime-Regular;Manager II;1988
M;80784;Fire and Rescue Services;Station 6;Fulltime-Regular;Firefighter/Rescuer III;1999
M;102805;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Fire/Rescue Lieutenant;1999
F;97718.99;Department of Health and Human Services;Behavioral Health Community Support Services;Fulltime-Regular;Supervisory Therapist;2008
F;89620;Department of Police;ISB Criminal Investigations Division 2nd District Investigative Section;Fulltime-Regular;Police Officer III;1997
F;88436.5;Department of Environmental Protection;Environmental Planning and Policy Implementation;Fulltime-Regular;Senior Planning Specialist;2014
M;45049.12;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2013
M;110229;Fire and Rescue Services;Training;Fulltime-Regular;Fire/Rescue Captain;1999
M;40946.22;Department of Liquor Control;Kensington;Fulltime-Regular;Liquor Store Clerk II;2010
M;43972.53;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver Helper/Warehouse Worker;2001
F;45225;Department of Health and Human Services;Maternity Dental;Fulltime-Regular;Dental Assistant;2016
M;31899.51;Department of Liquor Control;Burtonsville;Parttime-Regular;Liquor Store Clerk I;2009
M;28766.75;Department of Liquor Control;Burtonsville;Parttime-Regular;Liquor Store Clerk I;2015
M;46626.87;Department of Liquor Control;Liquor and Wine Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2008
M;54882.52;Department of General Services;Central Duplicating;Fulltime-Regular;Mail Clerk;1978
M;39003.45;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2015
M;85117;Department of Housing and Community Affairs;Multi-Family Housing Program;Fulltime-Regular;Senior Planning Specialist;2015
M;119137.02;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Fire/Rescue Captain;1990
F;18198.4;Department of Public Libraries;Gaithersburg Library;Parttime-Regular;Library Aide;2008
F;146664.49;County Council;Council Members and Staff;Fulltime-Regular;Confidential Aide;2003
M;89620;Department of Police;ISB Criminal Investigations Division 4th District Investigative Section;Fulltime-Regular;Police Officer III;2000
M;73801;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;1997
M;65812.12;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2012
F;43836;Department of Health and Human Services;Adult Behavioral Health Services;Parttime-Regular;Principal Administrative Aide;2000
M;117183;Department of Liquor Control;Wholesale Administration;Fulltime-Regular;Manager III;2015
F;57807.08;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1990
M;77328;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2000
M;28780.63;Department of Liquor Control;Muddy Branch;Parttime-Regular;Liquor Store Clerk I;2008
F;70490.11;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;1992
M;78096;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2004
M;135233.21;Department of Permitting Services;Land Development Well and Septic;Fulltime-Regular;Manager III;1994
F;93396;Department of Finance;Tax Operations;Fulltime-Regular;Accountant/Auditor III;2002
M;73801;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2004
F;50785.86;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Client Assistance Specialist;2015
F;46422.91;Department of Public Libraries;Cataloging and Preparation;Fulltime-Regular;Library Technician;2003
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
F;53788;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2014
M;61035.5;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
F;58360.55;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2015
F;83497.98;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;1982
F;100849.36;Department of Health and Human Services;Victim Assistance and Sexual Assault Program;Fulltime-Regular;Therapist II;1985
