id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
6808,M,77343,Department of General Services,Facilities Maintenance,Fulltime-Regular,Plumber II,2005
6809,F,83214,Department of Health and Human Services,Senior Health Promotion,Fulltime-Regular,Program Manager I,2015
6810,M,83658,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,2002
6811,F,102639.81,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Program Manager II,2001
6812,F,38524.73,Department of Health and Human Services,Head Start/Pre-K (Health),Parttime-Regular,School Health Room Technician I,2004
6813,M,91005,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2006
6814,M,58720,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2011
6815,M,92756.7,Department of Police,PSB 5th District Traffic Squad,Fulltime-Regular,Police Officer III,1989
6816,F,73801,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,2001
6817,F,25445,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1998
6818,F,170687,Offices of the County Executive,Chief Administrative Officer\'s Office,Fulltime-Regular,Assistant Chief Administrative Officer,2008
6819,M,109134.05,Department of Finance,Information Technology,Fulltime-Regular,Senior Information Technology Specialist,2013
6820,F,24978.81,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000
6821,F,107657,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Information Technology Specialist III,2006
6822,M,42053.33,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician II,2012
6823,F,93396,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,2006
6824,M,72628.78,Board of Elections,Information Technology,Fulltime-Regular,Information Technology Specialist III,2006
6825,M,39257,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2016
6826,F,87843.27,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2007
6827,M,45049.12,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2013
6828,M,36363.34,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2013
6829,F,64141,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1999
6830,M,50334.11,Department of Liquor Control,Potomac,Fulltime-Regular,Liquor Store Clerk II,2005
6831,M,52693,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2013
6832,M,50343.91,Department of Transportation,Highway Services,Fulltime-Regular,Public Service Craftsworker,2006
6833,F,84772.39,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Supervisor,2000
6834,F,56012.49,County Attorney\'s Office,Support Services,Fulltime-Regular,Legal Secretary II,2007
6835,F,44758.57,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Health Clinic Technician,2008
6836,M,46626.87,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
6837,M,39195,Department of Health and Human Services,Juvenile Justice Services,Fulltime-Regular,Principal Administrative Aide,2013
6838,M,27805.44,Department of Liquor Control,Westwood,Parttime-Regular,Liquor Store Clerk I,2016
6839,M,67424,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,2009
6840,F,102664,Office of Emergency Management and Homeland Security,Director\'s Office,Fulltime-Regular,Management and Budget Specialist III,1996
6841,F,55443.86,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Dental Assistant,2012
6842,M,57315.42,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2002
6843,M,78889.86,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Services Supervisor,1992
6844,M,149529.08,Fire and Rescue Services,HR Labor Relations,Fulltime-Regular,Fire/Rescue Assistant Chief,1988
6845,M,56980.89,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer III (Sergeant),2013
6846,F,47443.98,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,2012
6847,M,115480.72,Department of Permitting Services,'Team 4 Commercial Electrical,Mechanical and Fire Protection Systems',Fulltime-Regular,Manager III,2003
6848,F,95331.33,Department of Health and Human Services,School Based Health Centers,Fulltime-Regular,Community Health Nurse II,2006
6849,M,55376.69,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2003
6850,M,57265,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,2012
6851,M,89620,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2001
6852,M,95187.98,Fire and Rescue Services,Station 18,Fulltime-Regular,Master Firefighter/Rescuer,1986
6853,M,46319.36,Department of Public Libraries,Silver Spring Library,Fulltime-Regular,Library Associate,2015
6854,F,102664,Department of Health and Human Services,Women\'s Health Services,Fulltime-Regular,Nurse Manager,2004
6855,F,58455,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
6856,F,21766.2,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2003
6857,M,60713.84,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2001
6858,M,83658,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2002
6859,M,107657,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Information Technology Specialist III,2003
6860,M,51576,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2013
6861,F,96793.54,Department of Health and Human Services,School Based Health Centers,Fulltime-Regular,Community Health Nurse II,2005
6862,F,37838.46,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2011
6863,M,125875.02,Fire and Rescue Services,Station 1,Fulltime-Regular,Fire/Rescue Captain,1989
6864,F,100849.36,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Librarian II,1989
6865,F,18416.07,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2011
6866,F,112415.38,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Manager III,2012
6867,F,43153.12,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,2014
6868,F,41598.04,Department of Public Libraries,Chevy Chase Library,Parttime-Regular,Librarian I,1998
6869,F,18246.76,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Aide,2007
6870,F,73801,Office of Human Resources,Records Management Team,Fulltime-Regular,Administrative Specialist I,2001
6871,M,94265.22,Office of Human Resources,Training and Organizational Development Team,Fulltime-Regular,Human Resources Specialist III,2000
6872,F,53048.93,Department of Finance,Tax Operations,Fulltime-Regular,Office Services Coordinator,2015
6873,M,75453,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2005
6874,F,19263.33,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Desk Assistant,2013
6875,M,46068.92,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2001
6876,F,100849.36,Department of Health and Human Services,Disease Control,Fulltime-Regular,Community Health Nurse II,1981
6877,F,52032.19,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist III,2009
6878,M,71010.68,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Work Force Leader III,1995
6879,F,56980.89,Department of Environmental Protection,Management Services,Fulltime-Regular,Planning Specialist II,2012
6880,F,49068,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,2016
6881,M,48548.22,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003
6882,M,45048.5,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
6883,F,15969,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2016
6884,F,83971.06,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,2012
6885,M,94449,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2002
6886,F,42367.37,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Office Services Coordinator,2015
6887,M,83658,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2002
6888,F,39989.27,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician II,2013
6889,F,76745.39,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,1999
6890,M,60201.44,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Lead Revenue Counter,1990
6891,F,67982.93,Department of Police,FSB Media Services Division,Fulltime-Regular,Office Services Coordinator,2003
6892,M,89620,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,1998
6893,M,117390,Fire and Rescue Services,Station 25,Fulltime-Regular,Fire/Rescue Captain,1998
6894,M,65716,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,2007
6895,M,43525.72,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2013
6896,F,24978.81,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1999
6897,M,97392.47,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,1978
6898,M,56688.39,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2002
6899,F,69222.18,Department of Police,FSB Animal Services Division,Fulltime-Regular,Office Services Coordinator,1995
6900,M,88168,Fire and Rescue Services,Station 23,Fulltime-Regular,Fire/Rescue Lieutenant,2004
6901,F,44707.91,Department of General Services,Central Duplicating,Fulltime-Regular,Mail Clerk,2013
6902,M,15834.05,Department of Public Libraries,Olney Library,Parttime-Regular,Library Aide,2015
6903,F,64873.05,Department of Public Libraries,Chevy Chase Library,Fulltime-Regular,Librarian II,2012
6904,M,73946.54,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,1998
6905,M,101538.67,Community Use of Public Facilities,Silver Spring Civic Building,Fulltime-Regular,Manager III,2013
6906,F,63278.76,Department of Permitting Services,'Team 3 Commercial Building,Life Safety,Structural and Accessibility',Fulltime-Regular,Senior Permitting Services Specialist,2014
6907,F,101338.92,Department of Finance,Safety,Fulltime-Regular,Occupational Safety and Health Specialist,1996
6908,F,129403.12,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Manager III,2006
6909,F,78096,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,2004
6910,M,103459,Department of Police,PSB 3rd District Traffic Squad,Fulltime-Regular,Master Police Officer,1999
6911,M,66065.23,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,1992
6912,M,96763.35,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1989
6913,M,71220.1,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Assistant Supervisor,1996
6914,M,41781.91,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2013
6915,F,85443,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2002
6916,M,66876.13,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Program Specialist I,2003
6917,M,119713,Department of Police,Management Services Bureau,Fulltime-Regular,Police Lieutenant,1996
6918,F,109810.14,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,1995
6919,F,82019.65,Department of Public Libraries,Potomac Library,Fulltime-Regular,Manager III,2009
6920,F,61135.2,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,1999
6921,F,85018.36,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,1998
6922,F,38756.92,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,2014
6923,M,51969,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2015
6924,M,74886.63,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,1998
6925,F,46469,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,1999
6926,M,92756.7,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Police Officer III,1994
6927,M,39832.99,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,2006
6928,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
6929,M,83658,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2003
6930,F,67384,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer III (Corporal),2005
6931,F,49364,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2004
6932,M,50910,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2014
6933,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
6934,F,81352.73,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2004
6935,F,59242.3,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2008
6936,F,69813.09,Department of Health and Human Services,Public Health Emergency Preparedness and Response Program,Fulltime-Regular,Emergency Management Specialist I,2007
6937,M,52693,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2013
6938,F,69222.18,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,1990
6939,M,61787.48,Department of Liquor Control,Pike,Fulltime-Regular,Liquor Store Manager,2005
6940,M,61344,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,2009
6941,F,24809.23,Department of Public Libraries,Olney Library,Parttime-Regular,Library Associate,1999
6942,M,120117.06,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Captain,1982
6943,F,57068.63,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Principal Administrative Aide,2000
6944,M,44830.05,Department of General Services,Central Duplicating,Fulltime-Regular,Government Records/Warehouse Clerk,2013
6945,M,60501,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014
6946,M,55275,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,2016
6947,F,51670.26,Department of Liquor Control,Administration,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,2008
6948,F,61494.32,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2009
6949,M,50910,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,2014
6950,M,39257.31,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2016
6951,F,81646.1,Department of Health and Human Services,Nursing Home Inspections,Fulltime-Regular,Community Health Nurse II,2012
6952,F,46671.22,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Child Welfare Caseworker,1997
6953,M,83658,Department of Police,FSB Special Operations Division Police Community Action Team,Fulltime-Regular,Police Officer III,2002
6954,F,67206,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,1998
6955,F,100849.36,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,1990
6956,F,89620,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2003
6957,M,103506,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Sergeant,1998
6958,F,97912,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,2002
6959,F,88011.34,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Highway Construction Field Supervisor,2013
6960,F,61707,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2003
6961,F,119796.3,Department of Health and Human Services,School Health Services,Fulltime-Regular,Manager III,2001
6962,F,96792.26,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2005
6963,M,56478,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2014
6964,F,72094.53,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2015
6965,F,48145,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2015
6966,F,53788,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014
6967,M,149529.08,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Assistant Chief,1986
6968,M,39257,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2016
6969,M,81492,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2005
6970,F,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
6971,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
6972,M,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1994
6973,F,77543.85,Department of Environmental Protection,Management Services,Fulltime-Regular,Information Technology Specialist II,2013
6974,M,101176.43,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Lieutenant,1993
6975,F,25445,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1997
6976,M,107128.71,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Sergeant,1995
6977,M,80145,Fire and Rescue Services,Station 18,Fulltime-Regular,Master Firefighter/Rescuer,2004
6978,M,97224.98,Fire and Rescue Services,Station 7,Fulltime-Regular,Master Firefighter/Rescuer,1987
6979,M,58773,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,2013
6980,F,50272.2,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2013
6981,M,83497.98,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,1992
6982,F,58455,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2013
6983,M,123902.96,Department of Police,HQ Office of the Chief,Fulltime-Regular,Police Lieutenant,1991
6984,F,135392,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Manager III,1995
6985,M,70435,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2010
6986,F,47940.3,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Associate,2013
6987,M,43525.72,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2013
6988,M,75277.02,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,1989
6989,F,59767.05,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,2002
6990,M,39257.31,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
6991,F,36992.05,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,2007
6992,M,55429.52,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,2013
6993,M,53788,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014
6994,M,34172.68,Department of Liquor Control,Montrose,Parttime-Regular,Liquor Store Clerk I,2005
6995,F,19728.85,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2007
6996,M,40105.92,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,2006
6997,F,89620,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,1997
6998,M,54022.26,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,1996
6999,M,20934.07,Department of Public Libraries,White Oak Library,Parttime-Regular,Library Assistant I,2012
7000,F,65780.67,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Program Specialist II,2007
7001,M,36606.62,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,2005
7002,F,27901,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Desk Assistant,1999
7003,M,43243.96,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2012
7004,F,52447.27,Department of Police,ISB Major Crimes Division,Fulltime-Regular,Office Services Coordinator,2007
7005,M,87523.22,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist II,1989
7006,M,29779.07,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,2012
7007,M,33395,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2015
7008,M,174166,Department of Police,Management Services Bureau,Fulltime-Regular,Assistant Chief of Police,1987
7009,M,70435,Department of Police,FSB Special Operations Division Police Community Action Team,Fulltime-Regular,Police Officer III,2007
7010,M,53604.63,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Craftsworker I,2008
7011,F,58157.89,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2013
7012,M,65530,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,2008
7013,F,129142.5,Office of Consumer Protection,Investigations,Fulltime-Regular,Manager III,2016
7014,M,50910,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,2014
7015,M,80784,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,1999
7016,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
7017,F,69739.09,Office of Human Resources,Training and Organizational Development Team,Fulltime-Regular,Administrative Specialist I,2005
7018,F,46693.16,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Child Welfare Caseworker,1999
7019,F,80551.02,Correction and Rehabilitation,Professional Standards Unit,Fulltime-Regular,Program Specialist II,2005
7020,M,89620,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1997
7021,M,51074.68,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,2005
7022,F,33534.54,County Council,Council Central Staff,Parttime-Regular,Principal Administrative Aide,1995
7023,M,128519,County Council,Council Members and Staff,Fulltime-Regular,Council Member,2010
7024,M,92756.7,Department of Police,PSB 1st District Traffic Squad,Fulltime-Regular,Police Officer III,1995
7025,M,77328,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2000
7026,M,114087.02,Fire and Rescue Services,Station 34,Fulltime-Regular,Fire/Rescue Captain,1989
7027,M,93945,Sheriff\'s Office,Warrant Section,Fulltime-Regular,Deputy Sheriff Sergeant,1998
7028,F,100849.36,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker III,1986
7029,F,58455,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2013
7030,F,84974,Office of Public Information,MC311,Fulltime-Regular,Administrative Specialist II,2000
7031,F,144472.55,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Fire/Rescue Assistant Chief,1989
7032,F,85700.74,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Community Health Nurse II,2013
7033,M,56688.39,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2003
7034,F,51253.43,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,2005
7035,F,66687.72,County Attorney\'s Office,Support Services,Fulltime-Regular,Legal Secretary II,2000
7036,F,156478.83,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Manager II,1985
7037,M,65752,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2011
7038,M,70396,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2005
7039,F,83817.3,Department of Finance,Tax Operations,Fulltime-Regular,Program Manager II,2015
7040,F,48150,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2016
7041,F,57807.08,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1995
7042,M,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1985
7043,F,29534.52,Department of Police,ISB Family Crimes Division,Parttime-Regular,Office Services Coordinator,1999
7044,F,82851.51,Department of Health and Human Services,Senior Dental,Fulltime-Regular,Dental Hygienist,2005
7045,M,82632.68,Department of Permitting Services,Fire Protection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2012
7046,M,92756.7,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1990
7047,F,54709.01,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2013
7048,M,84974,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,1999
7049,M,94413.37,Department of Health and Human Services,Chief Special Needs Housing,Fulltime-Regular,Program Manager II,2012
7050,M,56478,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2014
7051,F,81066,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,2002
7052,M,92756.7,Department of Police,PSB 5th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,1990
7053,M,77434,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,2004
7054,M,63493,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2008
7055,M,107128.71,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,1996
7056,F,58062.82,County Attorney\'s Office,Support Services,Fulltime-Regular,Principal Administrative Aide,2006
7057,F,97912,Fire and Rescue Services,Behavioral Health,Fulltime-Regular,Therapist II,2006
7058,F,87523.22,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Library Associate II,1981
7059,F,97912,Department of Health and Human Services,Adult Foster Care - Project Home,Fulltime-Regular,Social Worker III,2005
7060,M,134403.16,Department of Transportation,Transportation Management,Fulltime-Regular,Manager III,1988
7061,M,84974,Department of Police,Management Services Bureau,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,1998
7062,M,128519,County Council,Council Members and Staff,Fulltime-Regular,Council Member,2010
7063,M,135392,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Manager III,1982
7064,M,71264.02,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector I,2008
7065,F,132162.52,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Manager III,1988
7066,M,88168,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2004
7067,M,42053.83,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
7068,M,67859,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,2008
7069,M,83658,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2004
7070,F,156510.65,Department of Recreation,Programs and Administration Division,Fulltime-Regular,Manager II,1984
7071,M,67753,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,2007
7072,F,134763.1,Department of Technology Services,EASD DCM Administration,Fulltime-Regular,Manager III,1998
7073,M,97560,Fire and Rescue Services,Station 16,Fulltime-Regular,Master Firefighter/Rescuer,2000
7074,F,42662.89,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2015
7075,M,78052,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,2002
7076,M,79057.66,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,2002
