;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
7309;M; 101.176,43 ;Fire and Rescue Services;Station 35;Fulltime-Regular;Fire/Rescue Lieutenant;1995
7310;F; 102.707,07 ;Fire and Rescue Services;Scheduling;Fulltime-Regular;Master Firefighter/Rescuer;1990
7311;M; 94.006,07 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;1995
7312;M; 57.265,00 ;Fire and Rescue Services;Station 6;Fulltime-Regular;Firefighter/Rescuer III;2012
7313;M; 79.663,29 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Plumber II;1978
7314;M; 129.868,06 ;Fire and Rescue Services;Station 18;Fulltime-Regular;Fire/Rescue Captain;1986
7315;M; 89.620,00 ;Department of Police;ISB Major Crimes Division Homicide and Sex Section;Fulltime-Regular;Police Officer III;2001
7316;M; 92.756,70 ;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;1994
7317;F; 92.756,70 ;Department of Police;ISB Family Crimes Division Pedophile Section;Fulltime-Regular;Police Officer III;1993
7318;M; 110.107,86 ;Department of Transportation;Transit Central Communication;Fulltime-Regular;Manager III;2007
7319;M; 66.394,00 ;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Firefighter/Rescuer III;2009
7320;F; 70.422,00 ;Department of Police;ISB Major Crimes Division;Fulltime-Regular;Executive Administrative Aide;1987
7321;M; 118.400,00 ;Department of Technology Services;EASD - DCM Services;Fulltime-Regular;Senior Information Technology Specialist;2006
7322;F; 97.912,00 ;Department of Permitting Services;Fire Protection;Fulltime-Regular;Senior Permitting Services Specialist;2003
7323;M; 77.065,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2004
7324;M; 82.978,23 ;Department of Liquor Control;Muddy Branch;Fulltime-Regular;Liquor Store Manager;1998
7325;F; 79.762,34 ;Board of Elections;Election Operations;Fulltime-Regular;Program Manager I;2006
7326;F; 34.275,06 ;Offices of the County Executive;"b""Chief Administrative Officer\\s Office""";Parttime-Regular;Office Services Coordinator;1990
7327;M; 92.361,99 ;Department of Permitting Services;Fire Protection;Fulltime-Regular;Senior Permitting Services Specialist;2013
7328;M; 83.497,98 ;Department of Technology Services;ETSD Radio Communications Services;Fulltime-Regular;Communications Equipment Technician II;1989
7329;M; 114.419,25 ;Department of Permitting Services;Team 2 Residential Inspection;Fulltime-Regular;Manager III;2005
7330;M; 114.098,37 ;Department of Technology Services;EASD Geographic Information System;Fulltime-Regular;Senior Information Technology Specialist;1999
7331;F; 64.428,28 ;Department of Finance;Tax Operations;Fulltime-Regular;Office Services Coordinator;1997
7332;M; 58.455,00 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2013
7333;M; 94.277,96 ;Correction and Rehabilitation;DS Gang Intelligence;Fulltime-Regular;Correctional Supervisor (Sergeant);1994
7334;F; 81.066,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2000
7335;M; 46.628,09 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2007
7336;M; 60.501,00 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2012
7337;F; 74.148,26 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2001
7338;M; 74.110,64 ;Department of General Services;ADA Compliance;Fulltime-Regular;Program Manager I;2001
7339;M; 93.945,00 ;"b""Sheriff\\s Office""";Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff Sergeant;2001
7340;F; 78.039,40 ;Department of Police;MSB Management and Budget Division False Alarm Reduction Unit;Fulltime-Regular;Program Specialist II;1999
7341;M; 22.651,50 ;Department of Public Libraries;Silver Spring Library;Parttime-Regular;Library Associate;2014
7342;M; 64.872,19 ;Department of Health and Human Services;Contract Team;Fulltime-Regular;Administrative Specialist II;2012
7343;M; 79.919,72 ;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Program Manager II;2007
7344;M; 53.928,21 ;Department of Liquor Control;Seneca Meadows;Fulltime-Regular;Liquor Store Clerk II;1995
7345;M; 58.720,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2002
7346;M; 129.571,09 ;Department of Health and Human Services;Area Agency on Aging Administration;Fulltime-Regular;Manager III;1999
7347;F; 103.457,43 ;Office of Management and Budget;Special Projects;Fulltime-Regular;Senior Management and Budget Specialist;2011
7348;F; 49.831,17 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1999
7349;F; 40.534,54 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2006
7350;F; 93.450,27 ;Department of Transportation;Transportation Construction Section;Fulltime-Regular;Engineer III;2008
7351;F; 51.394,00 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2013
7352;F; 108.976,88 ;Office of Management and Budget;Operating Budget Management;Fulltime-Regular;Senior Management and Budget Specialist;1998
7353;M; 100.849,36 ;Department of Health and Human Services;Clinical Assessment and Triage Services;Fulltime-Regular;Therapist II;1988
7354;M; 78.096,00 ;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;2004
7355;F; 104.309,72 ;Office of Intergovernmental Relations Department;Office of Intergovernmental Relations;Fulltime-Regular;Intergovernmental Relations Legislative Analyst;2014
7356;F; 62.678,98 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2013
7357;F; 57.807,08 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1989
7358;F; 97.912,00 ;Department of Health and Human Services;TB and Refugee Health;Fulltime-Regular;Community Health Nurse II;2001
7359;F; 56.387,00 ;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Environmental Health Specialist III;2016
7360;F; 49.068,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
7361;M; 60.433,32 ;Department of Recreation;Plum GAR Neighborhood Recreation Center;Fulltime-Regular;Recreation Specialist;2013
7362;F; 23.159,68 ;Department of Public Libraries;Kensington Park Library;Parttime-Regular;Library Associate;2013
7363;M; 135.392,00 ;Department of Transportation;Traffic Engineering Design and Operations;Fulltime-Regular;Manager III;2008
7364;M; 43.525,12 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
7365;F; 73.352,70 ;Department of Health and Human Services;"b""Women\\s Health Services""";Fulltime-Regular;Community Services Aide III;1998
7366;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
7367;M; 40.631,32 ;Department of Transportation;Transportation Management;Fulltime-Regular;Traffic Management Technician II;2015
7368;F; 24.134,31 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2001
7369;M; 128.818,06 ;Fire and Rescue Services;Station 7;Fulltime-Regular;Fire/Rescue Captain;1986
7370;F; 60.653,70 ;Department of Police;ISB Family Crimes Division;Fulltime-Regular;Executive Administrative Aide;2001
7371;F; 69.048,25 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide III;2000
7372;F; 97.912,00 ;Department of Health and Human Services;Adult Protective Services - Nurse Assessment;Fulltime-Regular;Community Health Nurse II;2001
7373;M; 65.105,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2006
7374;M; 87.302,71 ;Department of Transportation;Transportation Materials Testing La;Fulltime-Regular;Construction Representative III;2014
7375;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;1998
7376;M; 50.442,09 ;Department of Transportation;Parking Management Parking Operations;Fulltime-Regular;Parking Meter Mechanic;2005
7377;F; 57.807,08 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1994
7378;M; 80.784,00 ;Fire and Rescue Services;Station 3;Fulltime-Regular;Firefighter/Rescuer III;1997
7379;M; 35.411,29 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2012
7380;M; 79.520,00 ;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2007
7381;M; 83.658,00 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2002
7382;F; 131.348,75 ;Fire and Rescue Services;HR Labor Relations;Fulltime-Regular;Fire/Rescue Battalion Chief;1995
7383;M; 77.328,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2001
7384;M; 60.468,00 ;Fire and Rescue Services;Station 15;Fulltime-Regular;Firefighter/Rescuer III;2008
7385;M; 45.049,12 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2012
7386;M; 107.128,71 ;Department of Police;ISB Family Crimes Division Pedophile Section;Fulltime-Regular;Police Sergeant;1994
7387;F; 85.782,89 ;Department of Finance;General Accounting;Fulltime-Regular;Accountant/Auditor III;2006
7388;M; 33.564,74 ;Department of Recreation;Facilities Division;Parttime-Regular;Recreation Coordinator;2015
7389;F; 42.367,73 ;Department of Liquor Control;Retail Administration;Fulltime-Regular;Fiscal Assistant;2014
7390;F; 23.681,10 ;Department of Public Libraries;Kensington Park Library;Parttime-Regular;Library Desk Assistant;2000
7391;M; 52.947,00 ;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2014
7392;F; 41.220,18 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2016
7393;M; 64.588,09 ;Correction and Rehabilitation;PTS Alternative Community Services;Fulltime-Regular;Correctional Specialist II;2007
7394;F; 66.065,23 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1992
7395;M; 58.455,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
7396;M; 66.548,00 ;Fire and Rescue Services;Station 35;Fulltime-Regular;Firefighter/Rescuer III;2008
7397;F; 56.387,00 ;Department of Health and Human Services;Access to Behavioral Health Services;Fulltime-Regular;Therapist II;2010
7398;F; 49.618,44 ;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2011
7399;M; 75.807,10 ;Department of Public Libraries;Gaithersburg Library;Fulltime-Regular;Librarian II;2013
7400;F; 117.998,51 ;Office of Public Information;MC311;Fulltime-Regular;Manager III;1987
7401;M; 63.177,63 ;Department of Public Libraries;Virtual Services;Fulltime-Regular;Librarian I;2007
7402;M; 60.501,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2012
7403;F; 64.500,00 ;Department of Health and Human Services;Educational Support;Fulltime-Regular;Program Manager II;2016
7404;F; 57.917,35 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Office Services Coordinator;2002
7405;F; 102.664,00 ;Department of Police;ISB Criminal Investigations Division Crime Laboratory Section;Fulltime-Regular;Forensic Scientist;1998
7406;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
7407;M; 97.392,47 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Master Police Officer;1995
7408;M; 53.788,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2014
7409;M; 65.716,00 ;Fire and Rescue Services;Station 3;Fulltime-Regular;Firefighter/Rescuer III;2007
7410;M; 107.128,71 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Sergeant;1996
7411;F; 91.805,00 ;Department of Health and Human Services;School Based Health Centers;Fulltime-Regular;Community Health Nurse II;2008
7412;F; 30.257,86 ;Department of Public Libraries;Gaithersburg Library;Parttime-Regular;Library Associate II;2007
7413;M; 29.090,67 ;Department of Liquor Control;King Farm;Parttime-Regular;Liquor Store Clerk I;2013
7414;F; 35.542,78 ;Department of Public Libraries;Collection Development;Parttime-Regular;Librarian II;2015
7415;M; 50.910,00 ;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2014
7416;F; 72.697,36 ;Department of Public Libraries;Director;Fulltime-Regular;Program Specialist II;2013
7417;M; 50.211,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
7418;M; 52.693,00 ;Fire and Rescue Services;Station 32;Fulltime-Regular;Firefighter/Rescuer III;2013
7419;F; 76.015,03 ;Department of Health and Human Services;Disease Control - Immunization;Fulltime-Regular;Community Services Aide III;1987
7420;M; 56.580,00 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff III;2012
7421;F; 83.971,07 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2012
7422;M; 92.756,70 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;1989
7423;M; 83.658,00 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2007
7424;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
7425;M; 119.031,90 ;Department of Police;HQ Office of the Chief;Fulltime-Regular;Police Lieutenant;2003
7426;F; 50.922,29 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide III;2014
7427;M; 86.673,48 ;Department of Police;MSB Communications Division;Fulltime-Regular;Administrative Specialist II;1990
7428;M; 72.861,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2004
7429;M; 48.145,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2015
7430;M; 84.832,58 ;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer III (Sergeant);2002
7431;M; 48.641,37 ;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Public Service Craftsworker I;2001
7432;F; 102.664,00 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker IV;2000
7433;F; 22.529,52 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2001
7434;M; 69.429,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
7435;M; 67.952,64 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2004
7436;F; 86.673,48 ;Department of Housing and Community Affairs;Management Services;Fulltime-Regular;Administrative Specialist II;1990
7437;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
7438;F; 56.940,47 ;Department of Health and Human Services;Home Care Services;Fulltime-Regular;Community Services Aide III;2007
7439;F; 92.606,75 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;1999
7440;M; 80.175,86 ;Department of General Services;Facilities Major Programs;Fulltime-Regular;Property Manager I;2004
7441;F; 93.396,00 ;Department of Finance;Operations and Administration - Controller;Fulltime-Regular;Administrative Specialist III;2004
7442;M; 33.395,00 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2016
7443;M; 54.402,73 ;Department of Police;MSB Information Management and Technology DivisioinCrime Analysis Section;Fulltime-Regular;Crime Analyst;2013
7444;F; 62.400,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
7445;M; 75.036,11 ;Department of Public Libraries;Kensington Park Library;Fulltime-Regular;Library Associate II;2001
7446;F; 118.400,00 ;Office of Human Resources;Information Technology Team;Fulltime-Regular;Senior Information Technology Specialist;2005
7447;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2001
7448;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
7449;M; 63.493,00 ;Fire and Rescue Services;Station 2;Fulltime-Regular;Firefighter/Rescuer III;2008
7450;M; 125.849,03 ;Department of Health and Human Services;STD and HIV Services;Fulltime-Regular;Manager III;1990
7451;M; 103.114,91 ;Office of Management and Budget;Administration;Fulltime-Regular;Senior Management and Budget Specialist;2012
7452;F; 60.201,44 ;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Principal Administrative Aide;1989
7453;M; 76.182,23 ;Department of Police;MSB Personnel Division Background Section;Fulltime-Regular;Background Screening Specialist;2011
7454;F; 54.000,00 ;Department of Health and Human Services;Home Energy Assistance Program;Fulltime-Regular;Income Assistance Program Specialist III;2016
7455;M; 69.222,18 ;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer II;1989
7456;M; 63.445,00 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Firefighter/Rescuer III;2013
7457;M; 53.788,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2014
7458;F; 95.284,92 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2006
7459;M; 69.222,18 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator III;1985
7460;M; 86.673,48 ;Department of Transportation;Highway Services;Fulltime-Regular;Work Force Leader IV;1982
7461;M; 73.801,00 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2003
7462;F; 89.654,33 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2000
7463;F; 16.049,00 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2016
7464;F; 72.902,00 ;Department of Police;ISB Family Crimes Division Child Abuse Sexual Assault Section;Fulltime-Regular;Police Officer III;2006
7465;F; 21.766,20 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2003
7466;M; 75.453,00 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2005
7467;M; 135.378,13 ;Department of General Services;Building Design and Construction;Fulltime-Regular;Manager III;1988
7468;M; 102.664,00 ;Department of Health and Human Services;Behavioral Health Planning and Management;Fulltime-Regular;Program Manager II;2004
7469;F; 124.156,01 ;Department of Health and Human Services;Human Resources;Fulltime-Regular;Manager III;2012
7470;M; 94.099,00 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Master Police Officer;1997
7471;M; 119.137,02 ;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Fire/Rescue Captain;1992
7472;M; 53.788,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2014
7473;M; 88.661,44 ;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Firefighter/Rescuer III;1994
7474;F; 37.838,45 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
7475;M; 81.066,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Senior Mechanic Technician;1998
7476;M; 80.145,00 ;Fire and Rescue Services;Station 19;Fulltime-Regular;Master Firefighter/Rescuer;2004
7477;M; 60.314,17 ;Department of General Services;Central Duplicating;Fulltime-Regular;Printing Technician III;2013
7478;M; 67.753,00 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2007
7479;M; 77.328,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);1998
7480;M; 89.620,00 ;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;1999
7481;M; 75.406,00 ;Fire and Rescue Services;Station 4;Fulltime-Regular;Firefighter/Rescuer III;2006
7482;M; 72.902,00 ;Department of Police;PSB 2nd District Special Assignment Team;Fulltime-Regular;Police Officer III;2006
7483;F; 71.212,61 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2014
7484;F; 75.277,02 ;Department of Housing and Community Affairs;Director Administration;Fulltime-Regular;Senior Executive Administrative Aide;1978
7485;F; 96.197,88 ;Department of Health and Human Services;Fiscal Team;Fulltime-Regular;Accountant/Auditor III;1979
7486;F; 89.597,90 ;Department of Health and Human Services;Linkages to Learning;Fulltime-Regular;Human Services Specialist;1994
7487;M; 94.099,00 ;Department of Police;HQ Office of the Chief;Fulltime-Regular;Master Police Officer;1998
7488;M; 85.286,55 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2003
7489;M; 120.768,00 ;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Senior Information Technology Specialist;1988
7490;M; 60.501,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2012
7491;F; 58.455,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2013
7492;F; 79.663,29 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;1989
7493;F; 29.224,00 ;Department of Public Libraries;Collection Development;Parttime-Regular;Library Assistant I;2002
7494;M; 88.859,00 ;Fire and Rescue Services;Station 17;Fulltime-Regular;Master Firefighter/Rescuer;1999
7495;M; 68.543,00 ;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Firefighter/Rescuer III;2008
7496;M; 69.460,69 ;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector II;1998
7497;F; 135.392,00 ;Department of Health and Human Services;Health Care and Group Residential Services;Fulltime-Regular;Manager III;1987
7498;F; 53.421,78 ;Department of Public Libraries;Germantown Library;Fulltime-Regular;Librarian I;2014
7499;M; 52.693,00 ;Fire and Rescue Services;Station 26;Fulltime-Regular;Firefighter/Rescuer III;2013
7500;M; 79.913,17 ;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2014
7501;M; 53.788,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
7502;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1988
7503;M; 22.425,92 ;Department of Public Libraries;Chevy Chase Library;Parttime-Regular;Library Assistant I;2006
7504;F; 156.516,46 ;Department of Finance;Division of Risk Management;Fulltime-Regular;Manager II;2012
7505;M; 59.738,20 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Coordinator;2003
7506;M; 66.085,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2013
7507;F; 88.011,34 ;Department of Police;MSB Policy and Planning Division;Fulltime-Regular;Program Manager II;2013
7508;M; 112.304,62 ;Department of Police;MSB Communications Division;Fulltime-Regular;Senior Information Technology Specialist;2007
7509;M; 97.560,00 ;Fire and Rescue Services;Station 1;Fulltime-Regular;Master Firefighter/Rescuer;2000
7510;M; 68.054,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2010
7511;F; 102.664,00 ;Department of Housing and Community Affairs;Affordable Housing Programs;Fulltime-Regular;Senior Planning Specialist;2006
7512;F; 72.094,53 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2015
7513;M; 96.624,00 ;Department of Police;HQ Office of the Chief Internal Affairs Division;Fulltime-Regular;Police Sergeant;2002
7514;F; 82.313,98 ;Department of Public Libraries;Marilyn J Praisner Library;Fulltime-Regular;Manager III;2014
7515;M; 135.378,04 ;Department of Technology Services;ESOD Public Safety Data Support;Fulltime-Regular;Manager III;2004
7516;F; 77.343,00 ;Department of Police;PSB 5th District Station;Fulltime-Regular;Police District Station Assistant;1991
7517;M; 93.886,00 ;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Fire/Rescue Lieutenant;2005
7518;M; 64.141,00 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1997
7519;M; 40.640,26 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2003
7520;F; 69.222,18 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Office Services Coordinator;1988
7521;M; 79.647,84 ;Correction and Rehabilitation;DS MCDC Central Processing Unit;Fulltime-Regular;Correctional Officer III (Corporal);1996
7522;F; 63.177,64 ;Department of Recreation;White Oak Community Center;Fulltime-Regular;Recreation Specialist;2004
7523;M; 63.067,93 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1996
7524;M; 46.860,73 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2008
7525;M; 97.560,00 ;Fire and Rescue Services;Station 35;Fulltime-Regular;Master Firefighter/Rescuer;1999
7526;F; 92.756,70 ;Department of Police;ISB Major Crimes Division Robbery Section;Fulltime-Regular;Police Officer III;1994
7527;M; 85.405,00 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff III;2000
7528;F; 48.098,94 ;Department of Health and Human Services;Child Welfare Services;Parttime-Regular;Social Worker II;1996
7529;M; 53.923,27 ;Office of Legislative Oversight;Legislative Oversight Staff;Fulltime-Regular;Public Administration Associate;2012
7530;F; 50.671,75 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Services Assistant;2007
7531;M; 47.693,00 ;"b""Sheriff\\s Office""";Administration;Fulltime-Regular;Deputy Sheriff Candidate;2016
7532;M; 45.048,50 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2011
7533;M; 51.969,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
7534;F; 86.444,44 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2002
7535;M; 59.671,30 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1998
7536;F; 45.384,58 ;Department of Health and Human Services;Chief, Public Health;Fulltime-Regular;Office Services Coordinator;2013
7537;M; 215.120,00 ;Department of Technology Services;CIO;Fulltime-Regular;Director Department of Technology Services;1985
7538;M; 83.658,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2002
7539;M; 81.746,97 ;Department of Recreation;Holiday Park Senior Center;Fulltime-Regular;Recreation Specialist;2005
7540;M; 92.756,70 ;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;1990
7541;F; 27.527,10 ;Department of Public Libraries;Marilyn J Praisner Library;Parttime-Regular;Librarian I;2014
7542;M; 46.860,73 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
7543;M; 106.754,60 ;Fire and Rescue Services;Fire and Explosive Investigations;Fulltime-Regular;Fire/Rescue Lieutenant;1984
7544;F; 155.052,34 ;Department of Transportation;Transportation Engineering Administration;Fulltime-Regular;Manager II;1997
7545;M; 83.658,00 ;Department of Police;ISB Criminal Investigations Division 2nd District Investigative Section;Fulltime-Regular;Police Officer III;2002
7546;F; 93.396,00 ;Department of Health and Human Services;Planning, Accountability and Customer Service;Fulltime-Regular;Program Manager I;2007
7547;M; 13.244,50 ;Department of Transportation;Highway Administration;Parttime-Regular;Office Clerk;2016
7548;F; 90.576,00 ;Department of Technology Services;EASD Geographic Information System;Parttime-Regular;Senior Information Technology Specialist;1989
7549;M; 53.381,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2011
7550;M; 76.015,03 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;1985
7551;M; 71.485,73 ;Department of Recreation;Potomac Community Recreation Center;Fulltime-Regular;Recreation Specialist;2013
7552;F; 156.525,00 ;Department of Health and Human Services;"b""Director\\s Office""";Fulltime-Regular;Manager II;2003
7553;F; 43.425,63 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2004
7554;M; 52.693,00 ;Fire and Rescue Services;Station 40;Fulltime-Regular;Firefighter/Rescuer III;2013
